gene_id	group
ENSG00000233189	RPP
ENSG00000178429	RPP
ENSG00000230507	RPP
ENSG00000234192	RPP
ENSG00000213613	RPP
ENSG00000237205	RPP
ENSG00000223876	RPP
ENSG00000184111	RPP
ENSG00000213432	RPP
ENSG00000225354	RPP
ENSG00000214362	RPP
ENSG00000227805	RPP
ENSG00000227032	RPP
ENSG00000236552	RPP
ENSG00000237169	RPP
ENSG00000231508	RPP
ENSG00000234109	RPP
ENSG00000228657	RPP
ENSG00000235266	RPP
ENSG00000237827	RPP
ENSG00000215002	RPP
ENSG00000224907	RPP
ENSG00000233518	RPP
ENSG00000234118	RPP
ENSG00000230809	RPP
ENSG00000227560	RPP
ENSG00000226428	RPP
ENSG00000228195	RPP
ENSG00000236171	RPP
ENSG00000236058	RPP
ENSG00000227437	RPP
ENSG00000220842	RPP
ENSG00000236762	RPP
ENSG00000223540	RPP
ENSG00000227586	RPP
ENSG00000229455	RPP
ENSG00000233135	RPP
ENSG00000235264	RPP
ENSG00000213147	RPP
ENSG00000230980	RPP
ENSG00000236264	RPP
ENSG00000237226	RPP
ENSG00000223688	RPP
ENSG00000240385	RPP
ENSG00000243964	RPP
ENSG00000240454	RPP
ENSG00000240298	RPP
ENSG00000240554	RPP
ENSG00000242353	RPP
ENSG00000241950	RPP
ENSG00000241228	RPP
ENSG00000242834	RPP
ENSG00000243721	RPP
ENSG00000244267	RPP
ENSG00000242208	RPP
ENSG00000240371	RPP
ENSG00000243742	RPP
ENSG00000239924	RPP
ENSG00000255949	RPP
ENSG00000239559	RPP
ENSG00000243672	RPP
ENSG00000239481	RPP
ENSG00000244134	RPP
ENSG00000227097	RPP
ENSG00000242248	RPP
ENSG00000244244	RPP
ENSG00000242807	RPP
ENSG00000240698	RPP
ENSG00000239354	RPP
ENSG00000176343	RPP
ENSG00000243930	RPP
ENSG00000243250	RPP
ENSG00000213233	RPP
ENSG00000243353	RPP
ENSG00000255903	RPP
ENSG00000243431	RPP
ENSG00000240970	RPP
ENSG00000244400	RPP
ENSG00000243669	RPP
ENSG00000244641	RPP
ENSG00000233541	RPP
ENSG00000243607	RPP
ENSG00000240121	RPP
ENSG00000244451	RPP
ENSG00000243663	RPP
ENSG00000224438	RPP
ENSG00000240370	RPP
ENSG00000242661	RPP
ENSG00000243141	RPP
ENSG00000271215	RPP
ENSG00000234498	RPP
ENSG00000244573	RPP
ENSG00000242991	RPP
ENSG00000227525	RPP
ENSG00000241451	RPP
ENSG00000242986	RPP
ENSG00000231788	RPP
ENSG00000242314	RPP
ENSG00000229014	RPP
ENSG00000240759	RPP
ENSG00000240443	RPP
ENSG00000242041	RPP
ENSG00000241146	RPP
ENSG00000242990	RPP
ENSG00000241423	RPP
ENSG00000244390	RPP
ENSG00000242922	RPP
ENSG00000213363	RPP
ENSG00000241941	RPP
ENSG00000139239	RPP
ENSG00000242087	RPP
ENSG00000243020	RPP
ENSG00000213343	RPP
ENSG00000244432	RPP
ENSG00000234040	RPP
ENSG00000241825	RPP
ENSG00000241765	RPP
ENSG00000258245	RPP
ENSG00000213272	RPP
ENSG00000241045	RPP
ENSG00000239473	RPP
ENSG00000213270	RPP
ENSG00000242850	RPP
ENSG00000240721	RPP
ENSG00000239201	RPP
ENSG00000256393	RPP
ENSG00000214203	RPP
ENSG00000239413	RPP
ENSG00000213442	RPP
ENSG00000240631	RPP
ENSG00000241680	RPP
ENSG00000241286	RPP
ENSG00000244060	RPP
ENSG00000213152	RPP
ENSG00000242461	RPP
ENSG00000240342	RPP
ENSG00000241590	RPP
ENSG00000226729	RPP
ENSG00000240925	RPP
ENSG00000239881	RPP
ENSG00000219355	RPP
ENSG00000241030	RPP
ENSG00000242137	RPP
ENSG00000244585	RPP
ENSG00000214760	RPP
ENSG00000239215	RPP
ENSG00000241129	RPP
ENSG00000226356	RPP
ENSG00000243499	RPP
ENSG00000232888	RPP
ENSG00000240991	RPP
ENSG00000180172	RPP
ENSG00000226525	RPP
ENSG00000237952	RPP
ENSG00000232163	RPP
ENSG00000225404	RPP
ENSG00000232858	RPP
ENSG00000235315	RPP
ENSG00000234031	RPP
ENSG00000223782	RPP
ENSG00000218198	RPP
ENSG00000232378	RPP
ENSG00000230283	RPP
ENSG00000271429	RPP
ENSG00000226093	RPP
ENSG00000232540	RPP
ENSG00000229423	RPP
ENSG00000214359	RPP
ENSG00000223676	RPP
ENSG00000214878	RPP
ENSG00000224892	RPP
ENSG00000136149	RPP
ENSG00000225352	RPP
ENSG00000232105	RPP
ENSG00000236433	RPP
ENSG00000230405	RPP
ENSG00000229824	RPP
ENSG00000237816	RPP
ENSG00000233460	RPP
ENSG00000232881	RPP
ENSG00000227952	RPP
ENSG00000226617	RPP
